icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
06.2,062,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.2,062,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.31,0631,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.31,0631,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.31,0631,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.39,0639,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.39,0639,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.39,0639,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.4,064,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.4,064,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.4,064,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.50,0650,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : Combine median sternotomy,G/M,Group and Match (crossmatch),1
06.51,0651,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.51,0651,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : Combine median sternotomy,G/M,Group and Match (crossmatch),1
06.52,0652,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.52,0652,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : Combine median sternotomy,G/M,Group and Match (crossmatch),1
06.7,067,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.81,0681,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.81,0681,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.81,0681,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.89,0689,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.89,0689,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.89,0689,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.91,0691,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.91,0691,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.91,0691,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
