oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
IS314,3927,3927,1.000,1,false,3942,Arteriovenostomy for renal dialysis
IS315,3927,3927,1.000,1,false,3943,Arteriovenostomy for renal dialysis
IS316,3927,3927,1.000,1,false,3943,Arteriovenostomy for renal dialysis
IS317,3927,3927,1.000,1,false,3943,Arteriovenostomy for renal dialysis
IS318,205,205,1.000,2,false,16,Insertion of skull plate
IS319,8229,8229,1.000,1,false,344,Excision of other lesion of soft tissue of hand
IS320,128,128,0.923,1,false,110,Placement of intracerebral catheter(s) via burr hole(s)
IS321,9984,9984,1.000,0,true,,Isolation
IS322,8102,8102,1.000,1,false,309,"Other cervical fusion of the anterior column, anterior technique"
IS323,239,239,0.976,1,false,379,Ventricular shunt to extracranial site NEC
IS324,391,391,0.974,1,false,5586,Intra-abdominal venous shunt
IS325,499,499,0.976,1,false,749,Other operations on cranial and peripheral nerves
IS326,472,472,0.998,1,false,474,Accessory-facial anastomosis
IS327,401,401,0.954,1,false,406,Excision of acoustic neuroma
IS328,309,309,0.892,1,false,34,Other exploration and decompression of spinal canal
IS331,8521,8521,1.000,1,false,8520,Local excision of lesion of breast
IS332,8521,8521,0.999,1,false,8512,Local excision of lesion of breast
IS333,8607,8607,1.000,1,false,8606,Insertion of totally implantable vascular access device [VAD]
IS334,8607,8607,0.922,1,false,4497,Insertion of totally implantable vascular access device [VAD]
IS335,9984,9984,0.846,0,true,,Isolation
IS336,9702,9702,0.977,1,false,4311,Replacement of gastrostomy tube
IS337,4523,4523,1.000,1,false,4525,Colonoscopy
IS348,4516,4516,0.955,1,false,4413,Esophagogastroduodenoscopy [EGD] with closed biopsy
IS355,604,604,0.967,1,false,605,Retropubic prostatectomy
IS356,554,554,1.000,0,true,,Partial nephrectomy
IS357,5587,5587,0.985,1,false,5511,Correction of ureteropelvic junction
IT001,8143,8143,0.979,3,false,,Triad knee repair
IT002,9984,9984,1.000,0,true,,Isolation
IT003,8414,8414,0.977,1,false,8413,Amputation of ankle through malleoli of tibia and fibula
IT004,8417,8417,1.000,0,true,,Amputation above knee
IT005,8406,8406,0.994,0,true,,Disarticulation of elbow
IT006,8401,8401,1.000,1,false,8491,Amputation and disarticulation of finger
